iter	RMSE
0	71.6015332
1	69.28021939
2	66.90796397
3	64.92437003
4	63.04302656
5	61.02582307
6	59.3447265
7	57.43180462
8	55.86515217
9	54.33603143
10	52.76105104
11	51.42637835
12	50.14647477
13	48.90934201
14	47.6834687
15	46.43817922
16	45.4656197
17	44.40380328
18	43.35578347
19	42.47887946
20	41.5899594
21	40.77365356
22	39.93110786
23	39.1388275
24	38.51551095
25	37.81642192
26	37.26431974
27	36.67510524
28	36.08866431
29	35.65376243
30	35.13202948
31	34.61678136
32	34.14387672
33	33.7058515
34	33.33638149
35	32.96323083
36	32.58836071
37	32.23985452
38	31.94058519
39	31.6004939
40	31.33644022
41	31.02718675
42	30.77548042
43	30.52106924
44	30.32865287
45	30.11122487
46	29.92091568
47	29.72713283
48	29.53951425
49	29.34938825
50	29.19753545
51	29.01716066
52	28.86883097
53	28.7216508
54	28.57345474
55	28.45143922
56	28.31966843
57	28.19073568
58	28.07838265
59	27.97953211
60	27.84638952
61	27.73209124
62	27.62958853
63	27.53739312
64	27.44389544
65	27.34350886
66	27.27168296
67	27.2153262
68	27.1515082
69	27.10697565
70	27.03498585
71	26.92033461
72	26.82504623
73	26.75009219
74	26.67864523
75	26.63720186
76	26.58363753
77	26.5037672
78	26.45251025
79	26.37189747
80	26.2888652
81	26.21269928
82	26.15023723
83	26.10259628
84	26.02540064
85	25.97628774
86	25.94168421
87	25.88740956
88	25.80870115
89	25.76759484
90	25.71589084
91	25.65378373
92	25.60838589
93	25.56426679
94	25.50786936
95	25.44242644
96	25.41110335
97	25.35775563
98	25.29350921
99	25.24785229
100	25.23141205
101	25.19033953
102	25.14714551
103	25.08137162
104	25.0443096
105	24.97840888
106	24.89519883
107	24.84895571
108	24.7915736
109	24.73778859
110	24.67290923
111	24.6354219
112	24.5929262
113	24.56196732
114	24.50603866
115	24.4502956
116	24.39563246
117	24.3542245
118	24.31313662
119	24.2603311
120	24.22791355
121	24.18291313
122	24.13353393
123	24.10083747
124	24.05598481
125	24.02710664
126	23.98388163
127	23.94453218
128	23.9140233
129	23.85041325
130	23.82164394
131	23.7646197
132	23.71381704
133	23.69632332
134	23.61453474
135	23.59959862
136	23.55405476
137	23.51919572
138	23.47545698
139	23.42044394
140	23.39424983
141	23.35598702
142	23.29847586
143	23.25995208
144	23.21261902
145	23.17375452
146	23.14182506
147	23.07885123
148	23.0300424
149	22.98201793
150	22.94116587
151	22.91703406
152	22.88279637
153	22.84851986
154	22.82212754
155	22.7804159
156	22.73332462
157	22.7071985
158	22.65623033
159	22.62717439
160	22.60473808
161	22.55463243
162	22.5296717
163	22.51241364
164	22.47266335
165	22.41615387
166	22.36284854
167	22.2897359
168	22.2564185
169	22.24039306
170	22.22684373
171	22.19426516
172	22.14530173
173	22.13224622
174	22.09750646
175	22.05119373
176	22.02442628
177	21.98737459
178	21.95681858
179	21.94696906
180	21.91501602
181	21.85174279
182	21.84175751
183	21.81304231
184	21.75019379
185	21.74026477
186	21.69548273
187	21.65971487
188	21.60490253
189	21.54780801
190	21.50715378
191	21.46229616
192	21.43616565
193	21.41093462
194	21.36437559
195	21.33554726
196	21.31225352
197	21.29360177
198	21.28448335
199	21.27652527
200	21.24336074
201	21.20352718
202	21.16008987
203	21.10524539
204	21.08413938
205	21.05037929
206	21.01946605
207	20.99820534
208	20.94349868
209	20.91946022
210	20.91173957
211	20.86884473
212	20.8343925
213	20.82668746
214	20.7822477
215	20.75239687
216	20.73841474
217	20.72377556
218	20.6891009
219	20.67251818
220	20.66601091
221	20.63905274
222	20.61928118
223	20.5699437
224	20.52542802
225	20.51916386
226	20.48707387
227	20.48110563
228	20.42692436
229	20.3812643
230	20.36992023
231	20.33093918
232	20.28396518
233	20.24713453
234	20.23350217
235	20.21376752
236	20.18417359
237	20.13544016
238	20.10906732
239	20.0788537
240	20.04929932
241	19.98861904
242	19.95014218
243	19.90798212
244	19.89546843
245	19.85236925
246	19.84432808
247	19.83545482
248	19.8292433
249	19.78954973
250	19.75223558
251	19.71434911
252	19.70941636
253	19.68816397
254	19.64440396
255	19.62023608
256	19.59261846
257	19.57438047
258	19.56848693
259	19.5160173
260	19.47759708
261	19.4240452
262	19.380387
263	19.33540287
264	19.31627743
265	19.28998269
266	19.2682617
267	19.25162038
268	19.24043291
269	19.21311539
270	19.19073299
271	19.17288449
272	19.16636616
273	19.16022044
274	19.15017217
275	19.11296
276	19.07263188
277	19.05503687
278	19.03355587
279	18.98780655
280	18.95683402
281	18.90543994
282	18.88111193
283	18.84432911
284	18.81478299
285	18.7782958
286	18.7307333
287	18.6950227
288	18.66948817
289	18.63407565
290	18.61722964
291	18.57573089
292	18.55994072
293	18.51815038
294	18.501426
295	18.46136261
296	18.4364027
297	18.4278213
298	18.37967275
299	18.35034702
